"item_id","creation_date","content_type","recency","customer_name"
"380","1655843428000","1","5","c3"
"270","1648508687000","15","4","c3"
"118","1630516972000","15","3","c3"
"96","1571224145000","1","1","c2"
"247","1643727783000","1","4","c2"
"154","1600069126000","1","2","c2"
"50","1617828663000","1","2","c3"
"315","1650044001000","20","4","c3"
"160","1600069127000","1","2","c2"
"308","1650038606000","19","4","c3"
"151","1633597953000","1","3","c3"
"274","1648664201000","19","4","c3"
"16","1601033309000","19","2","c3"
"23","1602870696000","1","2","c3"
"66","1620752280000","1","2","c3"
"112","1630511280000","4","3","c3"
"180","1641932442000","1","3","c3"
"366","1653665759000","19","5","c3"
"74","1626440768000","19","3","c3"
"69","1626155629000","1","3","c3"
"72","1626160149000","1","3","c3"
"119","1630517235000","15","3","c3"
"370","1654874815000","1","5","c3"
"131","1630600567000","1","3","c3"
"238","1646155098000","1","4","c3"
"318","1650483034000","5","4","c3"
"352","1652661169000","19","5","c3"
"219","1645630407000","1","4","c3"
"334","1651267287000","1","4","c3"
"147","1633026669000","19","3","c3"
"355","1652727907000","1","5","c3"
"292","1649098869000","5","4","c3"
"20","1601575502000","19","2","c3"
"320","1650545493000","19","4","c3"
"279","1648835711000","1","4","c3"
"184","1642005156000","1","3","c3"
"183","1600854639000","1","2","c2"
"187","1643511607000","19","4","c3"
"331","1651176018000","1","4","c3"
"216","1639747278000","1","3","c2"
"309","1650038686000","19","4","c3"
"303","1649948124000","15","4","c3"
"377","1655391153000","1","5","c3"
"293","1649098982000","4","4","c3"
"7","1598559812000","1","2","c3"
"357","1652734666000","19","5","c3"
"333","1651266493000","1","4","c3"
"306","1650038230000","19","4","c3"
"24","1602875747000","1","2","c3"
"163","1600069127000","1","2","c2"
"159","1636394641000","1","3","c3"
"298","1649375326000","1","4","c3"
"48","1616729617000","19","2","c3"
"199","1614324717000","5","2","c2"
"226","1639987298000","1","3","c2"
"174","1600852787000","1","2","c2"
"200","1644539609000","1","4","c3"
"254","1646928038000","1","4","c2"
"187","1612436604000","1","2","c2"
"36","1611767629000","1","2","c3"
"77","1571149669000","1","1","c2"
"344","1651696635000","20","4","c3"
"359","1652966801000","1","5","c3"
"155","1600069126000","1","2","c2"
"246","1643726004000","1","4","c2"
"76","1571149537000","1","1","c2"
"342","1651602014000","1","4","c3"
"294","1649171020000","1","4","c3"
"248","1643792653000","1","4","c2"
"67","1570020766000","1","1","c2"
"79","1627976460000","1","3","c3"
"362","1653325707000","1","5","c3"
"286","1648843399000","19","4","c3"
"234","1640076107000","1","3","c2"
"73","1571148735000","1","1","c2"
"338","1651590551000","1","4","c3"
"199","1644422314000","1","4","c3"
"93","1571222208000","1","1","c2"
"22","1602175986000","1","2","c3"
"283","1648837894000","19","4","c3"
"348","1652355502000","1","5","c3"
"225","1639987064000","1","3","c2"
"153","1600069126000","1","2","c2"
"78","1627970532000","1","3","c3"
"266","1648479418000","1","4","c3"
"74","1571149137000","1","1","c2"
"197","1644344744000","1","4","c3"
"372","1655151551000","15","5","c3"
"271","1648508812000","15","4","c3"
"179","1641930997000","1","3","c3"
"154","1635259533000","1","3","c3"
"178","1641927186000","1","3","c3"
"191","1612437121000","1","2","c2"
"94","1571222752000","1","1","c2"
"264","1648232776000","19","4","c3"
"95","1571223378000","1","1","c2"
"28","1603898571000","1","2","c3"
"364","1653407430000","1","5","c3"
"337","1651546939000","1","4","c3"
"203","1614324952000","5","2","c2"
"251","1643969216000","1","4","c2"
"161","1600069127000","1","2","c2"
"68","1570021108000","1","1","c2"
"97","1571224523000","1","1","c2"
"69","1570021108000","1","1","c2"
"62","1560518590000","1","1","c2"
"178","1600853456000","1","2","c2"
"197","1612441993000","1","2","c2"
"31","1604577953000","19","2","c3"
"158","1600069126000","1","2","c2"
"223","1639986380000","1","3","c2"
"166","1600069128000","1","2","c2"
"190","1643915587000","1","4","c3"
"236","1640076518000","1","3","c2"
"80","1571215137000","1","1","c2"
"204","1614324998000","5","2","c2"
"159","1600069127000","1","2","c2"
"152","1633600748000","1","3","c3"
"41","1611956125000","1","2","c3"
"330","1651000102000","2","4","c3"
"252","1647458143000","1","4","c3"
"51","1617895829000","15","2","c3"
"140","1632402071000","19","3","c3"
"222","1639986060000","1","3","c2"
"179","1600853456000","1","2","c2"
"71","1570405800000","1","1","c2"
"300","1649694459000","1","4","c3"
"353","1652726403000","1","5","c3"
"249","1643792998000","1","4","c2"
"224","1639986752000","1","3","c2"
"54","1549444443000","1","1","c2"
"376","1655387789000","1","5","c3"
"26","1603374084000","1","2","c3"
"212","1622931501000","19","2","c2"
"257","1647640289000","1","4","c3"
"89","1628635808000","1","3","c3"
"192","1643924454000","1","4","c3"
"358","1652735304000","19","5","c3"
"228","1645631065000","19","4","c3"
"52","1540897052000","1","1","c2"
"222","1645630724000","19","4","c3"
"255","1647529849000","19","4","c3"
"336","1651530330000","1","4","c3"
"221","1639985728000","1","3","c2"
"89","1571220163000","1","1","c2"
"251","1647375386000","19","4","c3"
"40","1611942785000","1","2","c3"
"228","1639987720000","1","3","c2"
"237","1640076686000","1","3","c2"
"221","1645630720000","1","4","c3"
"177","1641838145000","19","3","c3"
"220","1639984503000","1","3","c2"
"66","1570020298000","1","1","c2"
"213","1639745074000","1","3","c2"
"200","1614324796000","5","2","c2"
"194","1644020362000","1","4","c3"
"183","1641996776000","15","3","c3"
"291","1649098635000","5","4","c3"
"54","1619039443000","1","2","c3"
"244","1646950682000","1","4","c3"
"227","1639987519000","1","3","c2"
"182","1641937886000","15","3","c3"
"142","1632428599000","1","3","c3"
"343","1651689028000","1","4","c3"
"233","1640075951000","1","3","c2"
"233","1645631316000","1","4","c3"
"290","1649098369000","5","4","c3"
"192","1612437301000","20","2","c2"
"150","1600069125000","1","2","c2"
"59","1560503626000","1","1","c2"
"367","1654097797000","1","5","c3"
"104","1630447620000","1","3","c3"
"62","1620683926000","1","2","c3"
"92","1628883737000","1","3","c3"
