"item_id","name","category_id","lang_code","difficult","status","create_date","recency","customer_name"
"262","Resources for Trainers","1","english","medium","0","1623787293000","3","c3"
"99","Traxon Global Customs (TGC)  System Administration - Alaska Airlines","36","english","medium","0","1561536403000","1","c2"
"676","Traxon Global Security","154","english","medium","2","1643719105000","4","c2"
"570","Traxon Global Customs - Uganda - Customs Reporting","136","english","medium","0","1620715088000","2","c2"
"55","2019 Traxon© Global Security - Aeromexico","31","english","medium","0","1555588323000","1","c2"
"419","Traxon Global Customs (TGC) BO Customs Authority","1","english","medium","2","1606375436000","2","c2"
"504","3. Memory: Encoding &amp; Retrieval - Part I","32","english","medium","2","1653060802000","5","c3"
"332","Introduction to Excel Formulas and Functions","30","english","medium","2","1632272526000","3","c3"
"24","IBIS™ Adding Comments","3","english","medium","2","1587591842000","2","c3"
"277","New DCS Staff Orientation and Training","1","english","medium","0","1624555364000","3","c3"
"85","*Traxon© Global Customs (TGC) Basic + US/PR Customs - Maestro international Cargo","1","english","medium","0","1559572360000","1","c2"
"583","Introduction to CHAMP Academy","116","english","medium","2","1625564541000","3","c2"
"119","Reviewing Items in the IBIS™ Application Content Review Tool (CRT)","8","english","medium","2","1601325599000","2","c3"
"515","Traxon Global Customs - Admin Training with Cargospot Interaction","136","english","medium","0","1620642545000","2","c2"
"48","2019 Traxon© Global Security - CRS GSA","31","english","medium","0","1553782673000","1","c2"
"253","Cargospot Pricing","93","english","medium","0","1591260047000","2","c2"
"436","Traxon Global Customs (TGC) GR Customs Authority","1","english","medium","2","1606379722000","2","c2"
"593","CHAMP Contracting","116","english","medium","2","1628081174000","3","c2"
"664","Introduction to CHAMP's Change Control Process (AWR)","116","english","medium","2","1643191938000","4","c2"
"97","NSC - First Aid/CPR/AED Skills Testing","11","english","medium","2","1605825766000","2","c1"
"492","NAEP Survey Questionnaire Item Development Process","36","english","medium","0","1650917636000","4","c3"
"444","Microsoft Word: Formatting and Preparing Generic Word Print deliverables","1","english","medium","2","1643903745000","4","c3"
"319","4 Animations and Closed Captions","9","english","medium","2","1630084581000","3","c3"
"95","IBIS™ Generating a Print","8","english","medium","2","1596661519000","2","c3"
"172","Traxon Global Customs (TGC) Admin Training - WY","1","english","medium","0","1579515631000","1","c2"
"76","Fire Watch (ARSC)","11","english","medium","2","1603407400000","2","c1"
"596","Designing a Presentation","140","english","medium","2","1629193003000","3","c2"
"264","Cargospot Export Handling - Flight Departure (SAL)","26","english","medium","0","1591860458000","2","c2"
"694","Marketing: Interest based Advertising for the Privacy Conscious Marketer","141","english","medium","2","1643812482000","4","c2"
"719","Cargospot Airline - Queue Management","154","english","medium","2","1649684736000","4","c2"
"562","Traxon Global Customs - Ukraine - Customs Reporting","136","english","medium","0","1620656119000","2","c2"
"78","Traxon© Global Security (TGS)  - CHAMP","31","english","medium","0","1559045581000","1","c2"
"637","CHAMP Ethics Policies","141","english","medium","2","1641462475000","3","c2"
"55","NSTC Distance Delivery","9","english","medium","0","1584483101000","1","c1"
"45","NSTC: Energy Isolation - 1","23","english","medium","0","1579039196000","1","c1"
"169","Tier 1 Test Design and Creation: Where Do Tests Come From?","7","english","medium","2","1607610208000","2","c3"
"283","RPA Bots: NeXT Read Only Snapshots Tutorial","30","english","medium","2","1626349033000","3","c3"
"216","Devon's Fit for Growth Sample 9: Sahi Phase 3 (Create Automation Suite)","1","english","medium","2","1617064120000","2","c3"
"222","Accessible Media in Non-Assessment Content","25","english","medium","2","1619118681000","2","c3"
"116","6 Reports, Dashboards, and Surveys","9","english","medium","2","1599856942000","2","c3"
"658","Cargospot Airline - Sales & Pricing","150","english","medium","2","1642155864000","3","c2"
"471","IBIS® Content Review Tool (CRT): Decision Management","8","english","medium","2","1648583022000","4","c3"
"375","MSPO for Production Managers 9 - Tracking Time and Task Progress","6","english","medium","2","1636581700000","3","c3"
"260","Fact-Checking for Editorial Staff","1","english","medium","0","1623786234000","3","c3"
"318","IBIS™ Content Submission Tool (CST): Author Role","8","english","medium","2","1629760289000","3","c3"
"64","Conducting CRC in ABBI","15","english","medium","2","1593194454000","2","c3"
"436","ETS Fairness Review Training for GACE Committee Members","14","english","medium","2","1643230076000","4","c3"
"431","Traxon Global Customs (TGC) SE Customs Authority","1","english","medium","2","1606379548000","2","c2"
"258","Cargospot Export Handling - Working with the AWB (SAL)","26","english","medium","0","1591860310000","2","c2"
"724","Traxon Global Customs - The United States of America and Puerto Rico - Customs Reporting","154","english","medium","2","1653315591000","5","c2"
"535","Traxon Global Customs - Latvia - Customs Reporting","136","english","medium","0","1620651185000","2","c2"
"15","IBIS™ Who is ETS and What Do We Do?","31","english","medium","2","1587511294000","2","c3"
"263","Serving as an Edit Liaison","1","english","medium","0","1623788026000","3","c3"
"461","Work Skills: Flow of Value, Part 1","1","english","medium","2","1646241073000","4","c3"
"285","RPA Bots: Item Configuration Tool Tutorial","30","english","medium","2","1626349247000","3","c3"
"667","Cargospot Airline - Flight and Capacity Control","154","english","medium","2","1643716775000","4","c2"
"523","Traxon Global Customs - Switzerland - Customs Reporting","136","english","medium","0","1620649693000","2","c2"
"426","Traxon Global Customs (TGC) DK Customs Authority","1","english","medium","2","1606379321000","2","c2"
"196","Cargospot Export Handling - Preparing the Export Flight","26","english","medium","0","1584438950000","1","c2"
"385","Traxon© Global Customs (TGC) Basic Training - GEO SKY Airline","1","english","medium","2","1599128695000","2","c2"
"633","Sales Foundations","140","english","medium","2","1641294505000","3","c2"
"418","Traxon Global Customs (TGC) NI Customs Authority","1","english","medium","2","1606375231000","2","c2"
"502","Cargospot Airline - Flight and Capacity Control","1","english","medium","2","1620632856000","2","c2"
"115","Welcome to Alpine","3","english","medium","2","1619460942000","2","c1"
"432","Sample by Elida Wylie 2","13","english","medium","2","1642034456000","3","c3"
"87","3 Enrolling Users and Creating Groups","9","english","medium","2","1595510405000","2","c3"
"246","Editorial Services Considerations for Spanish","1","english","medium","0","1623420696000","3","c3"
"376","ELL: Flow of Value, Part 1","1","english","medium","2","1636634454000","3","c3"
"267","Introduction to Translation Services","1","english","medium","0","1624294318000","3","c3"
"497","RPA Bots: Dynamic Report Runner Tutorial","30","english","medium","2","1651678734000","4","c3"
"16","IBIS™ Creating the Configuration Page","3","english","medium","2","1587577424000","2","c3"
"672","Cargospot General Invoicing - Templates and Configuration","154","english","medium","2","1643717442000","4","c2"
"465","Traxon Global Customs (TGC) LR Customs Authority","1","english","medium","2","1606382256000","2","c2"
"518","Traxon Global Customs - Luxembourg - Customs Reporting","136","english","medium","0","1620649232000","2","c2"
"153","Cargospot Import Handling - Delivery of a Shipment","42","english","medium","0","1574174087000","1","c2"
"104","NSC - First Aid/CPR/AED Full Course","11","english","medium","2","1610645650000","2","c1"
"446","Accessible PowerPoint® Presentations","25","english","medium","2","1643921241000","4","c3"
"481","IBIS® Build Assembly Assistant (TAA): Advanced Topics, Features, and Strategies","8","english","medium","2","1648585596000","4","c3"
"580","Introduction to Cargospot Airline","154","english","medium","2","1625142491000","3","c2"
"603","Project Management Foundations","140","english","medium","2","1632990966000","3","c2"
"605","What is an Air Waybill?","143","english","medium","2","1633425363000","3","c2"
"715","Cargospot Mobile (Français)","147","french","medium","2","1647600200000","4","c2"
"513","Traxon Global Customs - System Administration Training","136","english","medium","0","1620642158000","2","c2"
"444","Traxon Global Customs (TGC) PL Customs Authority","1","english","medium","2","1606379985000","2","c2"
"256","Editorial Services Considerations for Italian","1","english","medium","0","1623765351000","3","c3"
"369","MSPO for Production Managers 3 - Project Web App Overview","6","english","medium","2","1636478867000","3","c3"
"338","IBIS™ Content Submission Tool (CST): Assigner and Triager Roles","8","english","medium","2","1632870418000","3","c3"
"128","ETS Library Resources (EBSCO)","23","english","medium","2","1604615931000","2","c3"
"720","Test for IT Policies","157","english","medium","2","1650551096000","4","c2"
"479","Traxon Global Customs (TGC) Basic Training  + Kenya- CZ","1","english","medium","0","1609759245000","2","c2"
"629","Creativity Boot Camp","140","english","medium","2","1641294491000","3","c2"
"541","Traxon Global Customs - Sweden - Customs Reporting","136","english","medium","0","1620651667000","2","c2"
"203","Cargospot Handling General Invoice - Agent/Forwarder Billing","69","english","medium","0","1584455534000","1","c2"
"52","2019 Traxon© Global Security - ECS Group","31","english","medium","0","1555580994000","1","c2"
"146","Retired-MCQ Item Requirements for AP U.S. History Test","13","english","medium","0","1605569014000","2","c3"
"269","Translation Considerations for HiSET","1","english","medium","0","1624294519000","3","c3"
"67","Traxon© Global Security (TGS)  - LOT","31","english","medium","0","1557477051000","1","c2"
"154","Cargospot Import Handling - Completing Shipment Transfer","42","english","medium","0","1574174121000","1","c2"
"208","Traxon Global Customs (TGC) Admin Training - Suparna Airlines","1","english","medium","0","1585644446000","2","c2"
"543","Traxon Global Customs - Slovakia - Customs Reporting","136","english","medium","0","1620651824000","2","c2"
"641","CHAMP Understanding Privacy by Design","141","english","medium","2","1641471881000","3","c2"
"70","1 Orientation to the Training Liaison Role","9","english","medium","2","1594660355000","2","c3"
"264","Introduction to Completing Candidate Inquiries","14","english","medium","0","1623961542000","3","c3"
"354","Sample by Colleen Knorr 2","28","english","medium","2","1634665054000","3","c3"
"107","3-Technology Enhanced Item Writing","14","english","medium","2","1597784716000","2","c3"
"106","2-Selected Response Item Writing","14","english","medium","2","1597784671000","2","c3"
"298","3 Camtasia and PowerPoint","9","english","medium","2","1628188704000","3","c3"
"377","MSPO for Production Managers 10 - Approving Time and Task Progress","6","english","medium","2","1636690878000","3","c3"
"341","K-12 CA: Scrum Sprints and Events","15","english","medium","2","1633121429000","3","c3"
"237","Overview of Graphic Design Services","21","english","medium","2","1623169872000","2","c3"
"132","2-Overview of Development Advisory Committee (DAC)","14","english","medium","2","1605295730000","2","c3"
"241","Cargospot Handling General Invoice - Airline Billing (SWP)","1","english","medium","0","1589292462000","2","c2"
"142","Traxon© Global Customs (TGC) Basic + US - Uzbekistan Airways","1","english","medium","0","1572872706000","1","c2"
"524","Traxon Global Customs - Cyprus - Customs Reporting","136","english","medium","0","1620649825000","2","c2"
"585","Introduction to Traxon Global Security","154","english","medium","2","1625581153000","3","c2"
