"item_id","_parquetpath_id","customer_name"
"319","50","c3"
"29","8","c3"
"458","49","c3"
"2","1","c1"
"514","86","c3"
"298","50","c3"
"85","19","c1"
"685","42","c2"
"47","5","c3"
"408","69","c3"
"145","22","c1"
"72","38","c3"
"396","57","c3"
"133","30","c3"
"34","4","c3"
"150","21","c1"
"114","19","c1"
"586","30","c2"
"82","11","c1"
"689","41","c2"
"105","24","c3"
"91","38","c3"
"687","41","c2"
"605","30","c2"
"506","78","c3"
"400","65","c3"
"21","77","c3"
"104","15","c3"
"362","47","c3"
"146","28","c1"
"35","4","c3"
"119","87","c3"
"122","17","c1"
"25","8","c3"
"78","10","c1"
"390","64","c3"
"212","29","c3"
"127","15","c1"
"115","14","c1"
"121","49","c3"
"80","18","c1"
"74","49","c3"
"58","7","c1"
"117","15","c1"
"25","4","c3"
"192","36","c3"
"513","85","c3"
"473","6","c3"
"392","64","c3"
"58","8","c1"
"114","10","c1"
"173","18","c3"
"60","7","c3"
"381","57","c3"
"696","43","c2"
"213","6","c3"
"22","8","c3"
"380","63","c3"
"16","4","c3"
"373","63","c3"
"149","23","c1"
"123","17","c1"
"356","62","c3"
"488","77","c3"
"58","70","c3"
"87","49","c3"
"107","12","c1"
"374","63","c3"
"15","29","c3"
"416","69","c3"
"224","47","c3"
"409","69","c3"
"444","73","c3"
"48","5","c3"
"411","69","c3"
"453","49","c3"
"91","8","c3"
"446","46","c3"
"447","79","c3"
"377","63","c3"
"49","5","c3"
"413","69","c3"
"229","47","c3"
"128","17","c1"
"168","34","c3"
"82","19","c1"
"648","32","c2"
"501","29","c2"
"60","77","c3"
"423","57","c3"
"231","50","c3"
"185","35","c3"
"127","82","c3"
"85","11","c1"
"641","37","c2"
"327","47","c3"
"127","83","c3"
"367","63","c3"
"471","87","c3"
"125","16","c1"
"651","32","c2"
"32","4","c3"
"234","31","c3"
"70","49","c3"
"222","46","c3"
"503","84","c3"
"242","57","c3"
"110","25","c3"
"127","14","c1"
"369","63","c3"
"108","49","c3"
"128","14","c1"
"428","57","c3"
"507","78","c3"
"587","30","c2"
"620","30","c2"
"654","32","c2"
"457","79","c3"
"485","80","c3"
"516","78","c3"
"318","62","c3"
"118","38","c3"
"148","25","c1"
"496","47","c3"
"32","77","c3"
"318","37","c3"
"87","19","c1"
"26","8","c3"
"258","47","c3"
"430","71","c3"
"117","16","c1"
"156","17","c1"
"506","29","c2"
"683","38","c2"
"415","69","c3"
"475","81","c3"
"20","8","c3"
"432","71","c3"
"328","68","c3"
"375","63","c3"
"56","38","c3"
"150","33","c3"
"504","78","c3"
"182","35","c3"
"24","8","c3"
"99","19","c3"
"84","11","c1"
"55","8","c1"
"508","78","c3"
"283","47","c3"
"26","70","c3"
"484","80","c3"
"382","63","c3"
"19","38","c3"
"115","16","c1"
"690","41","c2"
"118","70","c3"
"473","87","c3"
"251","50","c3"
"169","34","c3"
"91","4","c3"
"86","19","c1"
"388","64","c3"
"107","23","c3"
"18","8","c3"
"433","57","c3"
"401","65","c3"
"412","69","c3"
"109","12","c1"
"151","23","c1"
"51","18","c1"
"631","31","c2"
"644","40","c2"
"318","75","c3"
"314","58","c3"
"60","70","c3"
"693","39","c2"
"132","30","c3"
"223","47","c3"
"189","36","c3"
"338","62","c3"
"113","2","c3"
"190","36","c3"
"318","82","c3"
"234","6","c3"
"183","35","c3"
"403","65","c3"
"81","19","c1"
"110","13","c1"
"628","31","c2"
"354","61","c3"
"24","70","c3"
"28","38","c3"
"372","63","c3"
"119","6","c3"
"636","31","c2"
"632","31","c2"
"72","4","c3"
"187","35","c3"
"318","29","c3"
"635","31","c2"
"1","1","c1"
"694","39","c2"
"410","69","c3"
"196","83","c3"
"229","79","c3"
"284","47","c3"
