id,idChannel,idAsset,asset_type,peer_review,created_at,created_by,updated_at,updated_by
232,15,64,1,"","","","",""
737,16,734,2,"",1655921252000,"","",""
423,24,394,1,published,"","","",""
424,24,395,1,published,"","","",""
106,29,115,1,"","","","",""
258,29,263,1,"","","","",""
507,31,483,1,"","","","",""
112,42,71,1,"","","","",""
648,43,633,1,"","","","",""
665,43,659,1,"","","","",""
101,46,110,1,"","","","",""
241,46,248,1,"","","","",""
415,55,384,1,"","","","",""
255,62,262,1,"","","","",""
309,64,93,1,"","","","",""
474,73,427,1,"","","","",""
465,73,439,1,"","","","",""
553,74,542,1,"","","","",""
575,76,572,1,"","","","",""
762,86,734,2,published,1655921252000,"",1655921259000,""
5,15,5,1,"","","","",""
703,15,656,1,"","","","",""
131,23,139,1,"","","","",""
260,29,264,1,"","","","",""
693,30,690,1,"","","","",""
565,31,8137,3,"","","","",""
496,32,474,1,"","","","",""
136,33,145,1,"","","","",""
177,33,184,1,"","","","",""
33,43,31,1,"","","","",""
628,43,614,1,"","","","",""
721,43,717,1,"","","","",""
735,43,733,1,"",1655919675000,"","",""
229,44,237,1,"","","","",""
362,44,330,1,"","","","",""
364,44,332,1,"","","","",""
375,44,340,1,"","","","",""
70,45,68,1,"","","","",""
178,53,185,1,"","","","",""
763,55,735,1,"",1656000474000,"","",""
354,67,315,1,"","","","",""
446,72,405,1,"","","","",""
462,73,353,1,"","","","",""
472,73,428,1,"","","","",""
713,81,710,1,"","","","",""
715,81,711,1,"","","","",""
682,82,678,1,published,"","","",""
767,84,123,4,"",1656075805000,"","",""
741,22,734,2,"",1655921252000,"","",""
419,24,390,1,published,"","","",""
256,29,262,1,"","","","",""
554,30,543,1,"","","","",""
52,32,50,1,"","","","",""
226,32,234,1,"","","","",""
480,32,445,1,"","","","",""
666,32,660,1,"","","","",""
117,33,124,1,"","","","",""
155,33,168,1,"","","","",""
113,42,68,1,"","","","",""
38,44,36,1,"","","","",""
126,50,133,1,"","","","",""
128,50,135,1,"","","","",""
114,51,119,1,"","","","",""
264,52,266,1,"","","","",""
541,52,527,1,"","","","",""
329,55,303,1,"","","","",""
386,69,356,1,"","","","",""
433,71,391,1,"","","","",""
436,71,394,1,"","","","",""
440,71,398,1,"","","","",""
523,74,503,1,"","","","",""
531,74,511,1,"","","","",""
668,78,666,1,"","","","",""
634,81,618,1,"","","","",""
723,84,8483,3,"","","","",""
710,85,705,1,"","","","",""
736,15,734,2,"",1655921252000,"","",""
743,25,734,2,"",1655921252000,"","",""
324,29,294,1,"","","","",""
352,29,322,1,"","","","",""
746,31,734,2,"",1655921252000,"","",""
135,33,144,1,"","","","",""
152,33,167,1,"","","","",""
479,37,7922,3,"","","","",""
729,43,8542,3,"","","","",""
98,46,107,1,"","","","",""
239,46,246,1,"","","","",""
483,55,449,1,"","","","",""
671,55,669,1,"","","","",""
344,58,317,1,"","","","",""
298,64,15,1,"","","","",""
377,69,347,1,"","","","",""
396,70,368,1,"","","","",""
494,74,470,1,published,"","","",""
576,76,573,1,"","","","",""
588,77,584,1,"","","","",""
765,84,736,1,"",1656072098000,"","",""
766,84,737,1,"",1656072307000,"","",""
48,21,46,1,"","","","",""
621,21,612,1,"","","","",""
30,23,11,1,"","","","",""
420,24,391,1,published,"","","",""
283,29,284,1,"","","","",""
188,32,195,1,"","","","",""
485,32,453,1,"","","","",""
132,33,141,1,"","","","",""
204,33,214,1,"","","","",""
321,37,7882,3,"","","","",""
724,42,724,1,"","","","",""
47,43,45,1,"","","","",""
235,43,240,1,"","","","",""
731,43,729,1,"",1655399526000,"","",""
127,50,134,1,"","","","",""
222,57,229,1,"","","","",""
253,61,261,1,"","","","",""
544,66,532,1,"","","","",""
390,69,361,1,"","","","",""
526,74,506,1,"","","","",""
558,74,547,1,"","","","",""
658,74,641,2,"","","","",""
612,78,213,1,"","","","",""
702,78,7908,3,"","","","",""
81,15,90,1,"","","","",""
20,17,18,1,published,"","","",""
626,20,613,1,"","","","",""
51,28,49,1,"","","","",""
545,29,533,1,"","","","",""
190,32,197,1,"","","","",""
345,34,317,1,"","","","",""
460,37,7795,3,"","","","",""
46,42,44,1,"","","","",""
649,42,634,1,"","","","",""
123,43,130,1,"","","","",""
580,55,222,1,"","","","",""
311,64,61,1,"","","","",""
758,70,734,2,"",1655921252000,"","",""
439,71,397,1,"","","","",""
497,74,475,1,"","","","",""
568,76,565,1,"","","","",""
581,77,577,1,"","","","",""
605,78,606,1,"","","","",""
637,81,621,1,"","","","",""
726,84,8527,3,"","","","",""
705,85,703,1,"","","","",""
426,24,397,1,published,"","","",""
427,24,398,1,published,"","","",""
597,26,598,1,"","","","",""
284,29,285,1,"","","","",""
594,32,595,1,"","","","",""
171,34,178,1,"","","","",""
646,42,631,1,"","","","",""
34,43,32,1,"","","","",""
230,44,238,1,"","","","",""
93,46,102,1,"","","","",""
320,46,293,1,"","","","",""
161,54,174,1,"","","","",""
236,55,243,1,"","","","",""
657,55,640,1,"","","","",""
233,58,67,3,"","","","",""
759,71,734,2,"",1655921252000,"","",""
449,72,408,1,"","","","",""
467,73,433,1,"","","","",""
635,81,619,1,"","","","",""
728,84,726,1,"","","","",""
425,24,396,1,published,"","","",""
250,32,258,1,"","","","",""
140,33,148,1,"","","","",""
199,33,210,1,"","","","",""
748,33,734,2,"",1655921252000,"","",""
288,43,289,1,"","","","",""
361,44,326,1,"","","","",""
102,46,111,1,"","","","",""
215,46,224,1,"","","","",""
624,51,612,1,"","","","",""
418,55,389,1,"","","","",""
444,70,399,1,"","","","",""
709,70,705,1,"","","","",""
451,72,410,1,"","","","",""
506,74,482,1,"","","","",""
636,81,620,1,"","","","",""
727,84,725,1,"","","","",""
722,86,718,1,published,"","","",""
547,25,535,1,"","","","",""
315,29,292,1,"","","","",""
346,29,317,1,"","","","",""
533,29,513,1,"","","","",""
546,30,534,1,"","","","",""
31,35,29,1,"","","","",""
276,42,278,1,"","","","",""
100,46,109,1,"","","","",""
279,46,280,1,"","","","",""
175,49,182,1,"","","","",""
310,64,62,1,"","","","",""
543,66,531,1,"","","","",""
355,67,322,1,"","","","",""
757,67,734,2,"",1655921252000,"","",""
563,72,556,1,"","","","",""
463,73,354,1,"","","","",""
760,73,734,2,"",1655921252000,"","",""
681,82,677,1,published,"","","",""
421,24,392,1,published,"","","",""
552,28,540,2,"","","","",""
263,29,266,1,"","","","",""
342,29,315,1,"","","","",""
314,31,291,1,"","","","",""
747,32,734,2,"",1655921252000,"","",""
645,43,627,1,"","","","",""
443,50,402,1,"","","","",""
754,51,734,2,"",1655921252000,"","",""
557,55,546,1,"","","","",""
410,64,379,1,"","","","",""
379,69,348,1,"","","","",""
385,69,355,1,"","","","",""
388,69,359,1,"","","","",""
477,73,441,1,"","","","",""
505,74,481,1,"","","","",""
520,74,500,1,"","","","",""
41,25,38,1,"","","","",""
551,25,540,2,"","","","",""
24,29,23,1,"","","","",""
216,29,224,1,"","","","",""
692,30,689,1,"","","","",""
332,32,306,1,"","","","",""
411,32,380,1,"","","","",""
290,37,7896,3,"","","","",""
366,44,334,1,"","","","",""
371,44,339,1,"","","","",""
751,44,734,2,"",1655921252000,"","",""
313,54,290,1,"","","","",""
292,64,19,1,"","","","",""
527,74,507,1,"","","","",""
613,78,609,1,"","","","",""
656,81,639,1,"","","","",""
680,82,676,1,published,"","","",""
6,15,8,1,"","","","",""
4,16,7,1,published,"","","",""
240,29,247,1,"","","","",""
700,30,697,1,"","","","",""
512,31,489,1,"","","","",""
285,61,286,1,"","","","",""
378,69,350,1,"","","","",""
431,71,381,1,"","","","",""
452,72,411,1,"","","","",""
476,73,440,1,"","","","",""
530,74,510,1,"","","","",""
556,74,545,1,"","","","",""
606,78,42,1,"","","","",""
683,82,679,1,published,"","","",""
761,83,734,2,"",1655921252000,"","",""
119,15,126,1,"","","","",""
630,20,616,1,"","","","",""
595,22,596,1,"","","","",""
130,31,139,1,"","","","",""
322,31,7937,3,"","","","",""
273,32,273,1,"","","","",""
457,32,419,1,"","","","",""
749,34,734,2,"",1655921252000,"","",""
220,36,227,1,"","","","",""
318,42,7897,3,"","","","",""
363,44,331,1,"","","","",""
365,44,333,1,"","","","",""
753,47,734,2,"",1655921252000,"","",""
211,50,220,1,"","","","",""
185,53,192,1,"","","","",""
398,54,370,1,"","","","",""
223,57,230,1,"","","","",""
257,62,263,1,"","","","",""
392,69,363,1,"","","","",""
393,69,365,1,"","","","",""
432,71,390,1,"","","","",""
470,73,432,1,"","","","",""
574,76,571,1,"","","","",""
738,17,734,2,"",1655921252000,"","",""
739,20,734,2,"",1655921252000,"","",""
50,27,48,1,"","","","",""
338,29,313,1,"","","","",""
197,32,203,1,"","","","",""
110,37,7796,3,"","","","",""
650,42,635,1,"","","","",""
85,46,94,1,"","","","",""
104,46,113,1,"","","","",""
194,54,202,1,"","","","",""
400,54,372,1,"","","","",""
402,54,7874,3,"","","","",""
481,55,447,1,"","","","",""
308,64,151,1,"","","","",""
295,64,176,1,"","","","",""
498,74,476,1,"","","","",""
560,74,550,1,"","","","",""
569,76,566,1,"","","","",""
