id,title,description,filename,originalFilename,idThumbnail,contentType,idSource,conversion_status,userId,duration,viewCounter,created,shownInList,whishedStatus,sns,is_private,transcriptProcessId,taggingProcessId,external_id,thumbnail_url,disable_qa,oldFilename,eventAction,currentUserDomain,originalOwnerId
498,03c_Stage Data QC (Processing),03c_Stage Data QC (Processing),f1b4dd51-75b4-b8cb-2ce1-d4a36c9c34eb647244732.mp4,f1b4dd51-75b4-b8cb-2ce1-d4a36c9c34eb.mp4,"",1,1,20,13612,616,0,1616251310000,false,"",0,1,3017,3018,"","",false,f1b4dd51-75b4-b8cb-2ce1-d4a36c9c34eb647244732.mp4,"","",""
281,Using Case Dynamics,"<p>Relativity Case Dynamics, formerly Fact Manager, assists in organizing and analyzing case details such as facts, issues, organizations, people, interview que...</p>",8e57796a621a216ead5c4eb671e339a1.jpg,https://youtu.be/0vSFraMI8DE,"",20,1,20,13106,0,6,1588715837000,false,"",0,0,2015,2014,"","",false,8e57796a621a216ead5c4eb671e339a1.jpg,"","",""
443,My Development,Development play input,"","","",19,1,18,14365,"",0,1606255821000,false,"",0,1,"","","","",false,"","","",""
261,InSite Brown Bag - Basics and things coming soon by James Dunigan,"<p class=\"MsoNormal\" style=\"margin-bottom:.0001pt;line-height:18pt;background:#FFFFFF;vertical-align:baseline;\"><span style=\"font-size:10pt;font-family:Arial, sans-serif;color:#48484a;\">We’ll be covering the basics, some tips and tricks, what the platform is and where we’re going.</span></p>
<p class=\"MsoNormal\" style=\"margin-bottom:.0001pt;line-height:18pt;background:#FFFFFF;vertical-align:baseline;\"><span style=\"font-size:10pt;font-family:Arial, sans-serif;color:#48484a;\">We’d like to increase education on the InSite platform to hopefully, make people’s lives easier! </span></p>
<p class=\"MsoNormal\" style=\"margin-bottom:.0001pt;line-height:18pt;background:#FFFFFF;vertical-align:baseline;\"><span style=\"font-size:10pt;font-family:Arial, sans-serif;color:#48484a;\"> </span></p>",o_1e5vu2pvk32banl1sqr17suf1ra.mp4,InSite Brown Bag - Basics and things coming soon 2 of 2-20200408 2002-1.mp4,8122,1,1,20,13689,3461,42,1586988410000,false,"",0,0,1938,1937,"","",false,o_1e5vu2pvk32banl1sqr17suf1ra.mp4,"","",""
247,Creating Search Terms Reports | Training | Relativity,"<p>This tutorial will show you how to create, run &amp; analyze a search terms report in Relativity. Learn more about creating search term reports here.</p>",8bc96642938bd5f4f66f77aa7a61ba30.jpg,https://www.relativity.com/ediscovery-training/self-paced/creating-search-terms-reports/?mkt_tok=eyJpIjoiWkdSallXUTBaVEJsTWpRMiIsInQiOiJJQ0t1bnpLcTdvNTRWOXhFY1lPRG92SEpUd3NmdDhzdHMxZ28wT0FMN3Awdk5UNDFrZTJPU0VESnpcL2NXVGNUd25Wc25FXC9lOExqQ0VSZlFGN1Q0a2JVd0lPYnhGYTFETUROazBPYmdiSGlrendUdHBudTVQM0x6Z1wvQ0s4RnBHayJ9,"",15,1,20,13106,0,3,1585930612000,false,"",0,0,1900,1899,"","",false,8bc96642938bd5f4f66f77aa7a61ba30.jpg,"","",""
488,Filtering Reporting,Communication template for filtering results / TIL,5f67f369-2e9c-9306-2958-89c79720e25c1818680314.mp4,5f67f369-2e9c-9306-2958-89c79720e25c.mp4,"",1,1,20,13819,193,10,1614990362000,false,"",0,0,2884,2883,"","",false,5f67f369-2e9c-9306-2958-89c79720e25c1818680314.mp4,"","",""
733,"Manager Discussion Series | June 22, 2022 | Documentation Best Practices","<p>In this session of the Manager Discussion Series, Senior PAC Manager Joveline Pettus provides tips on documentation best practices.  Covered in the discussion:</p><p>   ● Why Document?</p><p>   ● Barriers to Documentation</p><p>   ● When to Document?</p><p>   ● Coaching and Counseling</p><p>   ● How to Document?</p><p>   ● Documentation Tips</p><p>   ● Resources and References</p>",04e8ddf2e7c8ee0e59680d4692ee3d9df6fe0fae1652791599.mp4,Manager Discussion Series _ Documentation Best Practices & Change Management Fundamentals-20220622_090153-Meeting Recording.mp4,"",1,1,20,13912,2965,3,1655919657000,false,"",0,0,5125,5127,"","",false,04e8ddf2e7c8ee0e59680d4692ee3d9df6fe0fae1652791599.mp4,create,lighthouseglobal.docebosaas.com,""
486,Lighthouse's Processing Specifications Email Template,Lighthouse's Processing Specifications Email Template,fdd084b3-6e5f-06d7-a477-0f7935f543d1664059270.mp4,fdd084b3-6e5f-06d7-a477-0f7935f543d1.mp4,"",1,1,20,13915,60,8,1614979519000,false,"",0,0,2871,2873,"","",false,fdd084b3-6e5f-06d7-a477-0f7935f543d1664059270.mp4,"","",""
