idst,idstMember,filter
6,15123,""
6,14598,""
2,15463,""
2,14452,""
6,15412,""
13060,14466,""
13053,13678,""
1,15257,""
2,15307,""
14945,14967,""
3,13717,""
6,14663,""
1,15440,""
14679,15264,""
2,15188,""
14521,14555,""
14521,15405,""
1,15493,""
2,13992,""
14528,13800,""
2,14508,""
1,13989,""
13036,15345,""
2,14575,""
2,15112,""
15481,15382,""
2,14015,""
2,15305,""
15481,15142,""
14478,13706,""
13053,13972,""
1,14971,""
13120,14203,""
13114,13975,""
13119,14253,""
14953,14968,""
14973,14971,""
13060,15365,""
13118,13610,""
2,15003,""
13036,15472,""
6,15351,""
13125,13868,""
6,13638,""
13035,15470,""
13139,13613,""
13118,13698,""
6,15438,""
13053,15071,""
1,14603,""
6,14119,""
1,14276,""
14478,13828,""
2,15159,""
13035,15493,""
14478,13644,""
15481,15494,""
13053,14408,""
13122,13844,""
13060,15232,""
6,15514,""
13133,13780,""
2,13873,""
14478,13932,""
1,15349,""
6,15350,""
2,13891,""
13124,13816,""
6,14979,""
6,13597,""
2,14248,""
2,13870,""
1,15491,""
2,15132,""
2,15057,""
14521,15515,""
14520,14617,""
14520,14547,""
14478,15151,""
13035,15419,""
13060,15371,""
15481,15154,""
13124,13664,""
1,14544,""
1,14622,""
13124,13770,""
13035,15465,""
13053,15204,""
1,13677,""
2,14085,""
13146,13972,""
2,14318,""
6,13944,""
2,15480,""
2,14989,""
1,14256,""
13035,15478,""
6,15261,""
13035,15452,""
13133,13712,""
1,15265,""
14521,15101,""
13060,15305,""
13129,13700,""
13060,15445,""
13035,15437,""
14664,15116,""
14520,14563,""
13053,15201,""
14945,14984,""
6,13852,""
6,15046,""
14528,13897,""
13060,14632,""
14521,14595,""
13035,15381,""
13135,13932,""
13036,15376,""
14274,13915,""
13112,13705,""
1,15323,""
14274,14439,""
13112,13832,""
13060,14509,""
6,15516,""
14274,13731,""
2,13603,""
3,15420,""
13060,15387,""
14274,13770,""
13128,13578,""
2,13926,""
13053,14022,""
14750,15280,""
14528,13749,""
13128,13695,""
14683,15230,""
6,13952,""
15458,15215,""
14478,14439,""
13060,14527,""
1,13802,""
14341,13883,""
6,14672,""
13124,14094,""
14478,15066,""
13124,13902,""
13124,13671,""
2,13864,""
14952,14970,""
3,14324,""
1,14457,""
13053,15080,""
2,13729,""
2,13877,""
14478,13683,""
6,14468,""
4,13713,""
14528,14426,""
14528,15237,""
1,14325,""
14310,15528,""
2,15242,""
6,14134,""
13053,15220,""
2,14756,""
13071,14092,""
13060,14544,""
2,14592,""
1,15178,""
6,15187,""
13035,15449,""
2,14473,""
1,13609,""
15481,15502,""
13053,13713,""
1,15239,""
1,15184,""
13152,13686,""
13130,13988,""
13053,13589,""
1,15368,""
14274,14119,""
1,15274,""
2,15390,""
14230,14085,""
4,14039,""
4,13646,""
13135,13882,""
14948,14946,""
2,15212,""
13140,13980,""
1,13991,""
14274,14376,""
6,15427,""
14342,15135,""
1,13990,""
14478,14022,""
14664,15495,""
13060,14377,""
12301,13843,""
6,13928,""
13036,14007,""
1,13983,""
14521,15107,""
2,15095,""
13035,15333,""
2,15174,""
6,14421,""
1,14175,""
1,15151,""
2,13810,""
6,14275,""
6,14375,""
12301,13898,""
2,14762,""
2,15018,""
6,14612,""
14478,13861,""
6,13927,""
1,15300,""
1,14370,""
1,13612,""
1,13588,""
13060,15287,""
2,15056,""
1,14126,""
6,14203,""
14478,13877,""
13150,13955,""
2,15435,""
6,15396,""
2,13641,""
6,14970,""
13060,15474,""
6,13757,""
2,14395,""
14520,14578,""
13060,15080,""
2,14746,""
14664,15118,""
2,15152,""
1,14327,""
1,14587,""
6,14514,""
14521,14582,""
14945,14994,""
13036,15384,""
14100,14134,""
13122,13688,""
2,14335,""
13123,13677,""
1,15479,""
14528,14212,""
13133,14055,""
2,14279,""
6,15076,""
14013,13979,""
6,15063,""
14186,14028,""
14520,14584,""
2,14556,""
13118,13859,""
2,14172,""
2,15025,""
2,13586,""
13053,15202,""
1,13877,""
1,13815,""
14478,15327,""
13125,14072,""
13132,14258,""
13035,14007,""
14520,15103,""
1,14456,""
13060,14370,""
14310,14170,""
1,15063,""
2,15396,""
1,14789,""
13118,13959,""
14696,15270,""
13053,13883,""
6,15057,""
14274,14635,""
13149,14181,""
13125,13657,""
6,15211,""
1,14509,""
2,14946,""
14342,15139,""
13125,14322,""
13124,14072,""
2,13629,""
13151,13649,""
2,13578,""
13060,15265,""
13136,14147,""
1,14601,""
6,14377,""
1,15227,""
6,13975,""
1,14612,""
13060,14591,""
14274,13829,""
1,15252,""
6,15169,""
2,14114,""
1,15420,""
1,13970,""
6,15081,""
6,14568,""
6,14003,""
1,13944,""
14341,13614,""
14274,15206,""
1,15149,""
14478,13796,""
14655,15296,""
1,14549,""
6,14640,""
14945,15037,""
13137,13829,""
14528,14497,""
1,13969,""
14155,14032,""
13124,13886,""
2,14964,""
14478,13680,""
6,13998,""
1,15301,""
14098,14108,""
1,14330,""
1,13916,""
14310,13742,""
1,13861,""
1,15044,""
6,14355,""
2,15360,""
1,13646,""
2,14954,""
13125,14087,""
14520,14580,""
1,15452,""
2,13770,""
2,14730,""
2,14526,""
2,15182,""
13060,15134,""
14665,15116,""
6,14526,""
13035,15533,""
6,14989,""
6,15089,""
1,14987,""
13113,13587,""
13060,15143,""
13060,14410,""
14478,14406,""
14310,14509,""
13053,14133,""
2,15522,""
13035,15500,""
2,14214,""
14274,15121,""
6,14338,""
13053,15172,""
14520,15127,""
13128,13752,""
1,13714,""
14528,14461,""
2,13680,""
1,14589,""
2,14320,""
6,15066,""
14520,15334,""
13123,14088,""
13119,13991,""
14520,15511,""
14478,14018,""
2,14420,""
13122,13836,""
6,14307,""
14944,15039,""
13137,14202,""
2,14524,""
1,13890,""
14666,15276,""
6,15233,""
2,14138,""
14274,15285,""
1,15037,""
2,14641,""
2,13727,""
6,14570,""
2,15495,""
2,15125,""
14520,15391,""
14342,14254,""
13118,14081,""
2,14094,""
1,13721,""
13070,13615,""
13119,13598,""
14310,13830,""
14478,15121,""
13035,15454,""
6,14613,""
14478,13963,""
14342,14439,""
14478,14217,""
13124,13708,""
2,14203,""
14478,13720,""
6,14965,""
15481,15109,""
13060,14357,""
2,15086,""
13036,15525,""
6,13914,""
6,15082,""
14687,14949,""
1,14142,""
14274,13918,""
15481,15308,""
2,13751,""
1,15093,""
1,14371,""
6,14776,""
6,13679,""
6,15246,""
14478,13842,""
6,14578,""
14528,13939,""
1,13937,""
13035,15346,""
2,13705,""
6,14381,""
13060,15434,""
2,15518,""
1,15285,""
13060,15263,""
14478,14356,""
2,15045,""
13124,13908,""
13035,15367,""
14696,15222,""
2,13593,""
6,15137,""
1,14072,""
14520,15515,""
13142,13701,""
13060,15252,""
2,15310,""
6,13857,""
13060,14550,""
6,13835,""
13068,13827,""
13035,15414,""
6,14530,""
1,14590,""
1,13967,""
14310,14318,""
13060,15386,""
13035,15441,""
13125,14329,""
6,15145,""
13148,14315,""
2,13749,""
6,15364,""
13053,13777,""
13141,13791,""
13118,13714,""
4,13839,""
14520,14558,""
14274,14065,""
6,13790,""
14682,14730,""
2,13614,""
2,14829,""
13053,15155,""
14717,14715,""
2,14359,""
14528,15320,""
13060,15113,""
1,13591,""
13125,14068,""
6,14303,""
14680,15266,""
6,15208,""
14679,15174,""
13136,13829,""
6,14269,""
1,13628,""
14341,13362,""
6,14358,""
13060,15144,""
4,14245,""
