path_name,id_user,value
timezone,14546,America/Port-au-Prince
china_reachable,13586,no
china_reachable,13888,no
ui.language,13820,english
china_reachable,13988,no
china_reachable,13897,no
ui.language,15072,english
timezone,13815,America/Denver
ui.language,15454,english
china_reachable,14080,no
timezone,13765,America/Los_Angeles
china_reachable,13646,no
ui.language,14056,english
ui.language,15367,english
timezone,14637,America/New_York
timezone,14595,America/Los_Angeles
timezone,13749,America/Los_Angeles
ui.language,14432,english
ui.language,15111,english
timezone,14253,America/New_York
timezone,13911,America/Los_Angeles
timezone,14566,America/Los_Angeles
ui.language,13894,english
timezone,14403,America/New_York
ui.language,15468,english
ui.language,13858,english
timezone,14434,America/Denver
timezone,14061,America/Los_Angeles
timezone,15433,America/Los_Angeles
ui.language,14020,english
ui.language,14533,english
ui.language,13815,english
timezone,14066,America/Chicago
ui.language,15271,english
ui.language,14974,english
ui.language,14332,english
timezone,13877,America/Los_Angeles
ui.language,13911,english
timezone,15197,America/Los_Angeles
timezone,15466,America/Los_Angeles
timezone,14624,America/Los_Angeles
ui.language,15090,english
ui.language,15302,english
ui.language,13909,english
ui.language,14487,english
timezone,15240,America/New_York
ui.language,14558,english
ui.language,12303,english
ui.language,13849,english
ui.language,14087,english
ui.language,13775,english
ui.language,14572,english
ui.language,14636,english
timezone,15327,Europe/London
ui.language,14486,english
ui.language,15031,english
ui.language,14446,english
ui.language,14398,english
timezone,14338,America/New_York
timezone,13947,America/Phoenix
ui.language,13694,english
timezone,15192,America/Los_Angeles
timezone,15183,America/Los_Angeles
ui.language,14422,english
timezone,13594,America/Los_Angeles
ui.language,14344,english
ui.language,15437,english
timezone,15340,America/Chicago
timezone,14361,America/New_York
timezone,15184,America/New_York
ui.language,14434,english
ui.language,14507,english
timezone,14589,America/Denver
ui.language,14067,english
ui.language,14490,english
ui.language,15499,english
ui.language,13960,english
timezone,13881,America/New_York
timezone,15076,America/Los_Angeles
timezone,14673,America/Los_Angeles
timezone,14645,Europe/London
timezone,13683,America/Los_Angeles
ui.language,14837,english
timezone,14045,America/New_York
ui.language,14407,english
ui.language,13742,english
ui.language,14605,english
ui.language,13836,english
timezone,13865,America/Los_Angeles
timezone,14337,America/New_York
timezone,14068,America/Los_Angeles
china_reachable,13617,no
ui.language,14464,english
ui.language,14212,english
ui.language,13701,english
timezone,15275,America/Los_Angeles
timezone,13628,America/New_York
ui.language,15256,english
timezone,14514,America/Mexico_City
ui.language,14978,english
ui.language,15522,english
timezone,14602,America/Los_Angeles
timezone,15229,America/Los_Angeles
timezone,15251,America/Los_Angeles
ui.language,15310,english
ui.language,13636,english
timezone,15186,America/Los_Angeles
timezone,15164,America/Los_Angeles
ui.language,13908,english
china_reachable,13984,no
ui.language,13798,english
timezone,15152,America/Los_Angeles
ui.language,14024,english
timezone,15472,America/Chicago
ui.language,13621,english
timezone,14549,America/New_York
ui.language,14201,english
ui.language,14174,english
ui.language,14017,english
ui.language,15425,english
ui.language,14381,english
china_reachable,13578,no
ui.language,13812,english
china_reachable,13824,no
timezone,14615,America/Chicago
ui.language,14006,english
timezone,15315,America/Los_Angeles
china_reachable,13690,no
ui.language,14156,english
ui.language,14074,english
ui.language,15227,english
timezone,15444,America/Chicago
ui.language,13845,english
timezone,14466,America/Los_Angeles
ui.language,13962,english
timezone,15372,America/Los_Angeles
ui.language,15460,english
ui.language,13861,english
timezone,15347,America/Los_Angeles
ui.language,14115,english
ui.language,14582,english
ui.language,15107,english
ui.language,13613,english
ui.language,14094,english
timezone,14242,America/Los_Angeles
ui.language,15424,english
ui.language,13528,english
timezone,14356,America/New_York
ui.language,15063,english
ui.language,14536,english
timezone,15129,America/Los_Angeles
ui.language,15394,english
ui.language,15245,english
china_reachable,13106,no
timezone,13958,America/New_York
ui.language,14443,english
timezone,13751,Europe/London
timezone,14156,America/New_York
timezone,15264,America/Los_Angeles
ui.language,14543,english
ui.language,14001,english
timezone,13970,America/New_York
ui.language,15024,english
timezone,15139,America/Los_Angeles
timezone,14518,Europe/London
timezone,15353,America/Chicago
ui.language,14629,english
ui.language,13843,english
timezone,15102,America/Los_Angeles
ui.language,14015,english
ui.language,13764,english
timezone,13986,America/Chicago
timezone,13728,America/Los_Angeles
timezone,15301,America/Los_Angeles
timezone,15160,America/Los_Angeles
timezone,14358,America/Phoenix
china_reachable,13962,no
ui.language,13961,english
ui.language,14306,english
timezone,15067,America/Los_Angeles
timezone,15387,America/Los_Angeles
ui.language,15428,english
ui.language,14148,english
ui.language,14240,english
ui.language,15251,english
ui.language,15136,english
ui.language,14505,english
ui.language,14016,english
china_reachable,14143,no
ui.language,15288,english
china_reachable,13928,no
timezone,14331,America/New_York
ui.language,14305,english
timezone,14512,America/New_York
ui.language,15377,english
timezone,14988,Asia/Calcutta
timezone,14457,America/Chicago
ui.language,14371,english
timezone,15363,Asia/Kolkata
ui.language,14650,english
ui.language,13790,english
ui.language,15096,english
timezone,13704,America/New_York
screen_recorder_warning_dismiss,13878,1
timezone,15112,America/New_York
ui.language,15143,english
timezone,15318,America/New_York
ui.language,14418,english
ui.language,14534,english
ui.language,15334,english
ui.language,14959,english
ui.language,15483,english
timezone,15361,America/Los_Angeles
ui.language,13774,english
timezone,15425,America/Los_Angeles
ui.language,14453,english
ui.language,15416,english
ui.language,15505,english
china_reachable,13583,no
ui.language,15240,english
timezone,15333,America/Los_Angeles
timezone,15357,America/Los_Angeles
china_reachable,13588,no
china_reachable,14051,no
ui.language,14969,english
timezone,15147,America/Los_Angeles
china_reachable,13816,no
ui.language,14675,english
ui.language,15168,english
