id_path,id_item,in_slot,prerequisites,sequence,mode,delay_time,delay_time_unit
321,11341,0,"",1,all,"",""
38,226,0,"",2,all,"",""
178,81,0,"75,74,73,72,71,70,69",13,all,"",""
184,5650,0,"",2,all,"",""
180,8575,0,"",6,all,0,""
52,8583,0,"",21,all,"",""
261,882,0,"",4,all,"",""
8,143,0,"84,139,106,107,108,109,110,111,134,140,141,142",12,all,"",""
39,793,0,"",5,all,"",""
341,11351,0,"",4,all,0,""
214,8238,0,"",27,all,"",""
214,8232,0,"",23,all,"",""
59,1530,0,"",5,all,"",""
296,10650,0,"",1,all,"",""
335,11137,0,"",3,all,"",""
303,9165,0,"",20,all,"",""
188,5750,0,"",2,all,"",""
301,4309,0,"",16,all,"",""
341,11354,0,"",7,all,0,""
185,5645,0,"",4,all,"",""
299,10066,0,"",46,all,"",""
204,8166,0,"",12,all,0,""
17,185,0,"",6,1,"",""
21,2372,0,"",2,all,"",""
57,585,0,"",0,all,"",""
17,689,0,"",12,all,"",""
308,9127,0,"",21,all,"",""
291,6041,0,"",1,all,"",""
330,11303,0,"",4,all,0,""
330,11312,0,"",11,all,0,""
336,11245,0,"",2,all,0,""
299,3711,0,"",1,all,"",""
301,4427,0,"",18,all,"",""
40,5154,0,2196,4,all,"",""
308,7598,0,"",14,all,"",""
288,8906,0,"",0,all,"",""
48,226,0,"",2,all,"",""
148,172,0,"",0,all,"",""
186,5741,0,"",0,all,"",""
36,672,0,"",7,all,"",""
303,3805,0,"",2,all,"",""
48,8773,0,"",14,all,0,""
215,8243,0,"8233,8235,8236,8238,8239,8240,8241,8242",32,all,"",""
29,743,0,"",8,all,"",""
54,1058,0,1177,1,all,"",""
300,3805,0,"",5,all,"",""
195,172,0,"",0,all,"",""
302,3903,0,"",6,all,"",""
201,6548,0,"",2,all,0,""
28,8457,0,"",3,all,0,""
224,8603,0,"",5,all,"",""
216,8235,0,"",25,all,"",""
212,8026,0,"",14,all,"",""
105,1519,0,"",0,all,"",""
337,11257,0,"",2,all,"",""
343,10874,0,"",0,all,"",""
151,8714,0,"",0,all,"",""
213,8148,0,"",32,all,"",""
29,1056,0,"",16,all,"",""
249,2166,0,"",6,all,"",""
141,1991,0,"",0,all,"",""
309,4427,0,"",6,all,"",""
26,9867,0,"",9,all,"",""
298,4253,0,"",20,all,"",""
89,1373,0,"",7,all,0,""
185,5643,0,"",1,all,"",""
330,11310,0,"",13,all,0,""
300,4287,0,"",21,all,"",""
215,8203,0,"8228,8234,8224,8225,8226,8227,8206,8207,8208,8209,8210,8211,8212,8214,8215,8216,8217,8218,8219,8220,8221,8230,8232,8233,8235,8236,8238,8239,8240,8241,8242,8243,8244,8245,8246,8247",37,all,"",""
331,11095,0,"",2,all,0,""
304,9179,0,"",27,all,"",""
186,10768,0,"",3,all,"",""
180,1035,0,"",9,all,"",""
300,4217,0,"",17,all,"",""
51,410,0,"",6,all,"",""
297,10364,0,"",2,all,"",""
317,5244,0,"",2,all,"",""
215,8233,0,8227,24,all,"",""
277,9836,0,"",2,all,0,""
243,8568,0,"",6,all,0,""
284,9897,0,"",0,all,"",""
338,11269,0,"",8,all,0,""
308,5694,0,"",7,all,"",""
37,5946,0,"",8,all,"",""
215,8215,0,"8206,8207,8208,8209,8210,8211,8212,8214",15,all,"",""
298,9790,0,"",33,all,"",""
51,94,0,"",3,all,"",""
71,1742,0,"",3,all,"",""
304,3805,0,"",1,all,"",""
163,5124,0,"",0,all,"",""
297,10363,0,"",1,all,"",""
304,10024,0,"",30,all,"",""
8,164,0,"111,134,140,141,142,143,144,145,146,147,148,149,150,112,113,114,115,116,153,154,155,156,157,158,159,160,117,152,118,151",37,all,"",""
304,3711,0,"",0,all,"",""
216,8209,0,"",10,all,"",""
53,717,0,"",3,all,"",""
303,3993,0,"",4,all,"",""
329,10916,0,"",3,all,"",""
130,2004,0,"",0,all,"",""
169,5120,0,"",4,all,"",""
307,9772,0,"",47,all,"",""
74,1039,0,"",4,all,"",""
121,1475,0,"",0,all,"",""
337,11347,0,"",7,all,"",""
173,4110,0,"",2,all,"",""
180,212,0,"",14,all,"",""
314,5743,0,"",4,all,"",""
209,70,0,"",2,all,"",""
256,8735,0,"",2,all,"",""
36,5361,0,"",14,all,0,""
300,4437,0,"",25,all,"",""
23,174,0,172,1,all,"",""
41,773,0,"",6,all,"",""
31,202,0,"",9,all,"",""
260,8430,0,"",7,all,"",""
163,5127,0,"",3,all,"",""
208,7797,0,"",5,all,"",""
307,6687,0,"",12,all,"",""
36,224,0,"",10,all,"",""
71,10004,0,"",5,all,"",""
53,8576,0,"",4,all,"",""
299,10060,0,"",45,all,"",""
310,10313,0,"",30,all,"",""
327,10885,0,"",8,all,"",""
26,10863,0,"",0,all,"",""
149,2011,0,"",0,all,"",""
220,1488,0,"",1,all,"",""
215,8244,0,"8233,8235,8236,8238,8239,8240,8241,8242,8243",33,all,"",""
169,5122,0,"",6,all,"",""
65,8708,0,"",5,all,"",""
29,8708,0,"",19,all,"",""
71,208,0,"",2,all,"",""
300,8700,0,"",34,all,"",""
212,8027,0,"",13,all,"",""
8,144,0,"84,139,106,107,108,109,110,111,134,140,141,142,143",13,all,"",""
214,8236,0,"",26,all,"",""
305,9736,0,"",15,all,"",""
48,681,0,"",12,all,"",""
38,5361,0,"",14,all,0,""
52,8553,0,"",1,all,0,""
126,1062,0,"",2,all,"",""
338,11277,0,"",12,all,0,""
38,193,0,"",20,all,"",""
251,9572,0,"",1,all,0,""
302,4427,0,"",1,all,"",""
199,6521,0,"",1,all,"",""
7,78,0,"69,70,71,72,73,74,75",10,all,"",""
27,736,0,"",7,all,"",""
199,8626,0,"",10,all,0,""
298,4529,0,"",3,all,"",""
30,4946,0,"",6,all,0,""
307,8642,0,"",36,all,"",""
329,10921,0,"",5,all,"",""
214,8227,0,"",6,all,"",""
17,688,0,"",11,all,"",""
188,5749,0,"",3,all,"",""
306,8704,0,"",29,all,"",""
34,1035,0,"",8,all,"",""
306,8426,0,"",24,all,"",""
53,10253,0,"",26,all,"",""
51,1545,0,"",2,all,0,""
321,11384,0,"",3,all,"",""
29,742,0,"",7,all,"",""
235,171,0,"",3,all,"",""
181,5117,0,"",6,all,"",""
261,8708,0,"",13,all,"",""
302,4253,0,"",8,all,"",""
299,3993,0,"",12,all,"",""
299,7854,0,"",30,all,"",""
8,116,0,"84,106,107,108,109,110,139",24,all,"",""
178,84,0,"",0,all,"",""
214,8220,0,"",20,all,"",""
325,11291,0,"",2,all,"",""
147,1480,0,"",0,all,"",""
38,1131,0,"",0,all,"",""
31,742,0,"",7,all,"",""
103,1000,0,"",0,all,"",""
34,8762,0,"",24,all,"",""
270,9054,0,"",4,all,"",""
37,10664,0,"",10,all,"",""
53,8581,0,"",18,all,"",""
270,9053,0,"",8,all,"",""
51,1542,0,"",1,all,0,""
213,8121,0,"",5,all,"",""
43,781,0,"",9,all,"",""
36,2197,0,"",1,all,0,""
213,8138,0,"",22,all,"",""
38,671,0,"",13,all,"",""
186,8601,0,"",9,all,0,""
341,11348,0,"",1,all,0,""
53,8577,0,"",6,all,"",""
331,11074,0,"",1,all,"",""
180,757,0,"",15,all,"",""
259,2372,0,"",2,all,"",""
314,5637,0,"",10,all,"",""
239,1488,0,"",1,all,"",""
7,89,0,"69,70,71,72,73,74,75,76,77,78,79,80,81,82,83",16,all,"",""
41,8638,0,"",11,all,0,""
303,4253,0,"",6,all,"",""
215,8211,0,"8206,8207,8208,8209,8210",12,all,"",""
38,674,0,"",9,all,"",""
43,7964,0,"",8,all,0,""
308,5718,0,"",8,all,"",""
330,11302,0,"",3,all,0,""
306,8386,0,"",19,all,"",""
16,186,0,"",7,all,"",""
300,8644,0,"",31,all,"",""
310,7620,0,"",18,all,"",""
17,184,0,"",4,all,"",""
304,3875,0,"",4,all,"",""
